city	location	location_keyword
London	British Museum	british museum
London	National Gallery	national gallery
London	Tower of London	tower of london
London	V&A; - Victoria and Albert Museum	v a victoria and albert museum
London	Big Ben	big ben
London	Walking Tours (225)	walking tours
London	Churchill War Rooms	churchill war rooms
London	Houses of Parliament	houses of parliament
London	Natural History Museum	natural history museum
London	St. James's Park	st james s park
London	Tower Bridge	tower bridge
London	Theater & Performances (101)	theater performances
London	Hyde Park	hyde park
London	City Tours (183)	city tours
London	Wallace Collection	wallace collection
London	Westminster Abbey	westminster abbey
London	Borough Market	borough market
London	Room Escape Games (32)	room escape games
London	The London Eye	the london eye
London	Regent's Park	regent s park
London	Private Tours (169)	private tours
London	Up at The O2	up at the o2
London	Camden Market	camden market
London	Brick Lane Music Hall	brick lane music hall
London	Sky Garden	sky garden
London	The Courtauld Gallery	the courtauld gallery
London	St. Paul's Cathedral	st paul s cathedral
London	The Royal Air Force Museum London	the royal air force museum london
London	Westminster	westminster
London	Covent Garden	covent garden
London	Royal Opera House	royal opera house
London	Historical & Heritage Tours (121)	historical heritage tours
London	Greenwich	greenwich
London	Bomber Command Memorial	bomber command memorial
London	Shakespeare's Globe Theatre	shakespeare s globe theatre
London	Sightseeing Tours (127)	sightseeing tours
London	Buckingham Palace	buckingham palace
London	National Portrait Gallery	national portrait gallery
London	Kensington Gardens	kensington gardens
London	The All England Lawn Tennis Club	the all england lawn tennis club
London	Imperial War Museum	imperial war museum
London	The View from The Shard	the view from the shard
London	Greenwich Park	greenwich park
London	British Library	british library
London	Boat Tours (37)	boat tours
London	Hampstead Heath	hampstead heath
London	Museum of London	museum of london
London	Primrose Hill	primrose hill
London	Cultural Tours (95)	cultural tours
London	Bar, Club & Pub Tours (31)	bar club pub tours
London	Arsenal Stadium Tours & Museum	arsenal stadium tours museum
London	Tate Britain	tate britain
London	Holland Park	holland park
London	Trafalgar Square	trafalgar square
London	Emirates Stadium	emirates stadium
London	Lord's Cricket Ground	lord s cricket ground
London	Hunterian Museum	hunterian museum
London	Emirates Air Line Cable Car - Greenwich Peninsula	emirates air line cable car greenwich peninsula
London	HMS Belfast	hms belfast
London	Emirates Air Line Cable Car - Royal Docks	emirates air line cable car royal docks
London	Open Air Theatre	open air theatre
London	Highgate Cemetery	highgate cemetery
London	Sir John Soane's Museum	sir john soane s museum
London	Old Royal Naval College	old royal naval college
London	Wimbledon Lawn Tennis Museum	wimbledon lawn tennis museum
London	South Bank	south bank
London	Notting Hill	notting hill
London	St. Pancras International Station	st pancras international station
London	Eltham Palace and Gardens	eltham palace and gardens
London	Savoy Theatre	savoy theatre
London	National Theatre	national theatre
London	Bars & Clubs (1153)	bars clubs
London	Thames River	thames river
London	Science Museum	science museum
London	Museum of London Docklands	museum of london docklands
London	Westminster Cathedral	westminster cathedral
London	Harrods	harrods
London	Lyceum Theatre	lyceum theatre
London	Stamford Bridge Stadium	stamford bridge stadium
London	Museum of Brands, Packaging and Advertising	museum of brands packaging and advertising
London	Madame Tussauds London	madame tussauds london
London	Royal Academy of Arts	royal academy of arts
London	Cutty Sark	cutty sark
London	West End Theatre District	west end theatre district
London	Gift & Specialty Shops (452)	gift specialty shops
London	Saatchi Gallery	saatchi gallery
London	Oxford Street	oxford street
London	The Charles Dickens Museum	the charles dickens museum
London	Diana Princess of Wales Memorial Playground	diana princess of wales memorial playground
London	Freemasons' Hall	freemasons hall
London	Wellcome Collection	wellcome collection
London	Aldwych Theatre	aldwych theatre
London	Apollo Victoria Theatre	apollo victoria theatre
London	Tate Modern	tate modern
London	Palace Theatre	palace theatre
London	Regent Street	regent street
London	Bateaux London	bateaux london
London	ArcelorMittal Orbit	arcelormittal orbit
London	Piccadilly Circus	piccadilly circus
London	Prince Edward Theatre	prince edward theatre
London	Soho	soho
London	Kenwood House	kenwood house
London	Her Majesty's Theatre London	her majesty s theatre london
London	Portobello Road Market	portobello road market
London	Battersea Park	battersea park
London	Lessons & Workshops (82)	lessons workshops
London	Brick Lane	brick lane
London	White Hart Lane	white hart lane
London	The Old Vic	the old vic
London	Apsley House	apsley house
London	Temple Church	temple church
London	Old Spitalfields Market	old spitalfields market
London	Geffrye Museum	geffrye museum
London	Grant Museum of Zoology	grant museum of zoology
London	Leighton House Museum and Art Gallery	leighton house museum and art gallery
London	Horse Guards Parade at Whitehall	horse guards parade at whitehall
London	Chelsea Physic Garden	chelsea physic garden
London	Old Operating Theatre	old operating theatre
London	Maltby Street Market	maltby street market
London	The Monument to the Great Fire of London	the monument to the great fire of london
London	Columbia Road Flower Market	columbia road flower market
London	Green Park	green park
London	BAPS Shri Swaminarayan Mandir	baps shri swaminarayan mandir
London	New London Theatre	new london theatre
London	Millennium Bridge	millennium bridge
London	Postman's Park	postman s park
London	King's Cross Station	king s cross station
London	The London Film Museum - Covent Garden	the london film museum covent garden
London	Game & Entertainment Centers (65)	game entertainment centers
London	Taxis & Shuttles (148)	taxis shuttles
London	Somerset House	somerset house
London	Westfield London	westfield london
London	Theatre Royal Drury Lane	theatre royal drury lane
London	Southwark Cathedral	southwark cathedral
London	Greenwich Market	greenwich market
London	Royal Observatory Greenwich	royal observatory greenwich
London	Food Tours (25)	food tours
London	Harold Pinter Theatre	harold pinter theatre
London	Novello Theatre	novello theatre
London	Royal Mews	royal mews
London	Albert Memorial	albert memorial
London	Bank of England Museum	bank of england museum
London	Barbican Centre	barbican centre
London	Leicester Square	leicester square
London	London Transport Museum	london transport museum
London	Noel Coward Theatre	noel coward theatre
London	WWT London Wetland Centre	wwt london wetland centre
London	Bond Street	bond street
London	Abbey Road	abbey road
London	Horniman Museum and Gardens	horniman museum and gardens
London	Guildhall Art Gallery	guildhall art gallery
London	Speed Boats Tours (3)	speed boats tours
London	Canary Wharf	canary wharf
London	Westminster Bridge	westminster bridge
London	South Kensington	south kensington
London	Bike Tours (25)	bike tours
London	Queen's Theatre	queen s theatre
London	Day Trips (32)	day trips
London	Westfield Stratford City	westfield stratford city
London	National Maritime Museum	national maritime museum
London	Bus Tours (23)	bus tours
London	ZSL London Zoo	zsl london zoo
London	Parliament Square	parliament square
London	Golden Hinde	golden hinde
London	Regents Canal	regents canal
London	Gielgud Theatre	gielgud theatre
London	Nelson's Column	nelson s column
London	Queen Elizabeth Olympic Park	queen elizabeth olympic park
London	Sadler's Wells	sadler s wells
London	V&A; Museum of Childhood	v a museum of childhood
London	Prince of Wales Theatre	prince of wales theatre
London	Kensington Palace	kensington palace
London	Olympic Stadium	olympic stadium
London	Carnaby Street	carnaby street
London	Paddington Station	paddington station
London	Hippodrome Casino	hippodrome casino
London	British Film Institute IMAX Cinema	british film institute imax cinema
London	Pop Brixton	pop brixton
London	London Coliseum	london coliseum
London	Queen Victoria Memorial	queen victoria memorial
London	Cooking Classes (40)	cooking classes
London	Winter Wonderland	winter wonderland
London	Comedy Clubs (45)	comedy clubs
London	London Palladium	london palladium
London	Literary, Art & Music Tours (24)	literary art music tours
London	The Mall	the mall
London	The O2	the o2
London	Clink Prison Museum	clink prison museum
London	Chinatown	chinatown
London	Shaftesbury Theatre	shaftesbury theatre
London	Piccadilly Theatre	piccadilly theatre
London	Russell Square	russell square
London	William Morris Gallery	william morris gallery
London	Dulwich Picture Gallery	dulwich picture gallery
London	Wellington Arch	wellington arch
London	Criterion Theatre	criterion theatre
London	Duck Tours (1)	duck tours
London	Rail Tours (2)	rail tours
London	Little Venice	little venice
London	Apollo Theatre	apollo theatre
London	Craven Cottage	craven cottage
London	Kyoto Garden	kyoto garden
